letter,count_all,percentage_of_all,percentage_of_all_upper
N,6,1.03,1.03
e,23,3.95,0.0
w,8,1.37,0.0
s,88,15.12,0.0
A,21,3.61,3.61
a,76,13.06,0.0
k,21,3.61,0.0
j,6,1.03,0.0
d,71,12.2,0.0
b,8,1.37,0.0
f,43,7.39,0.0
g,15,2.58,0.0
l,28,4.81,0.0
n,17,2.92,0.0
T,3,0.52,0.52
o,15,2.58,0.0
y,11,1.89,0.0
c,11,1.89,0.0
r,15,2.58,0.0
J,3,0.52,0.52
h,8,1.37,0.0
G,3,0.52,0.52
p,3,0.52,0.0
t,24,4.12,0.0
P,6,1.03,1.03
i,13,2.23,0.0
v,10,1.72,0.0
u,13,2.23,0.0
D,2,0.34,0.34
L,1,0.17,0.17
q,1,0.17,0.0
Q,1,0.17,0.17
S,2,0.34,0.34
x,2,0.34,0.0
m,1,0.17,0.0
B,1,0.17,0.17
z,2,0.34,0.0
